N,P,K,temperature,humidity,ph,rainfall,label
109,177,163,28.8,42.3,5.758506323,196.5,Wheat
59,79,78,25.1,78.7,6.349606327,185.1,Wheat
132,57,100,17.8,48.7,5.999969026,87,Wheat
62,184,182,29,69,5.453592032,271.1,Wheat
126,27,3,28.6,71.2,6.372576327,236.4,Wheat
136,115,18,24.7,86.9,5.105588355,84.2,Wheat
81,185,9,19.4,50.3,5.935344406,124.1,Wheat
13,119,8,32.3,59,5.17782304,168.8,Wheat
178,81,173,35.2,68.1,6.462391607,93,Wheat
89,74,182,24.3,73,7.069172227,85.8,Wheat
123,177,89,17.4,86,7.473134377,273.5,Wheat
145,40,183,26.6,76.6,6.158376967,178.7,Wheat
127,103,96,15.5,47.3,7.549873681,219.1,Wheat
75,46,120,22.9,41,6.028321558,169.7,Wheat
149,105,190,26.9,57.3,6.604993475,123.4,Wheat
124,14,85,34.2,80.9,6.500343222,91.3,Wheat
7,134,190,18.7,81.8,5.935745417,294.8,Wheat
91,77,67,36,80.3,7.072655622,162.2,Wheat
161,196,142,26.3,81,5.333322606,203.7,Wheat
109,110,93,26.1,56.4,5.749914421,139,Wheat
156,84,140,27.6,44.2,6.931756558,157.8,Wheat
74,173,159,26.9,86.4,6.657964753,173,Wheat
133,176,5,34.5,42.8,6.596060648,114.8,Wheat
171,70,46,21.7,51.5,5.970458434,246.7,Wheat
68,153,155,18.6,45.3,6.158830619,97.6,Wheat
162,129,177,37.2,79,6.047906679,198.5,Wheat
171,9,66,17.4,40.4,5.913664501,183.4,Wheat
97,47,68,15.1,84.6,5.855442401,134.5,Wheat
156,181,175,29,76.7,5.750254943,193.6,Wheat
53,141,106,17.2,43.5,5.852607099,185,Wheat
65,57,196,37.2,59.3,6.472523287,277.2,Wheat
133,195,157,35.1,76.4,6.967057762,259.6,Wheat
78,14,125,34.1,73.8,6.082973754,110.8,Wheat
183,158,161,16.6,53,5.919045532,175.4,Wheat
122,22,181,20.4,54.4,6.204747653,273.2,Wheat
71,69,151,15.3,81.5,6.600827017,78.6,Wheat
51,34,129,18.9,55,6.021902237,222.9,Wheat
137,63,6,17.3,52,6.033550195,269.4,Wheat
5,115,117,34.2,53.7,6.28886807,155.2,Wheat
141,29,66,27.8,71.5,6.550563823,166.6,Wheat
137,81,95,18.6,66,5.573286437,62,Wheat
34,48,0,27.5,63.9,6.829199275,294.6,Wheat
139,53,69,39,66,5.716222912,247.9,Wheat
82,116,167,35.5,42.5,5.54990242,135.2,Wheat
97,94,96,28.8,81.8,6.586244581,286,Wheat
66,127,62,28.1,78.9,5.893093135,211,Wheat
110,83,20,16.9,89.6,5.918263801,104.1,Wheat
171,150,20,19.2,74.7,5.588650585,93.2,Wheat
2,173,183,36.6,66.6,6.576418207,156.4,Wheat
199,110,177,16.3,73.3,6.178056304,194.1,Wheat
68,27,186,26.2,62.9,6.641906353,258.1,Wheat
195,54,162,17.1,47.6,6.489040367,192.8,Wheat
143,131,127,32.2,84.9,5.680361038,243.4,Wheat
114,39,113,23.9,63.2,6.625404348,122.6,Wheat
136,130,80,24,52.5,6.524478032,104.7,Wheat
158,100,183,32.6,60.4,5.696205468,292.2,Wheat
177,31,49,17.6,80.6,6.803931519,159.3,Wheat
140,179,97,28.1,48,6.252797548,242,Wheat
134,137,173,25.2,51.8,6.092725883,144.7,Wheat
156,59,165,18.1,68.6,6.234330356,166.5,Wheat
86,22,27,38.2,66,5.722579819,178.8,Wheat
186,129,177,18.8,79.4,6.430616465,175.8,Wheat
187,149,114,29.9,73.9,5.983952675,133.9,Wheat
159,26,150,30.1,82.8,6.80163854,142.3,Wheat
169,117,59,28,42,6.499936446,191.8,Wheat
77,30,120,28.6,68.8,6.265564338,250.8,Wheat
163,21,128,19.9,53.7,6.727303282,85.1,Wheat
107,98,15,23.1,66.1,6.325235159,204.4,Wheat
89,161,87,20.1,49.4,6.807487794,171.5,Wheat
80,132,189,24.5,83.6,6.671085817,189.5,Wheat
168,93,76,39.6,78.8,6.648725327,297.7,Wheat
89,80,173,35.2,88,6.439071996,105.2,Wheat
14,43,99,24.5,60.9,6.474476516,271.6,Wheat
92,24,59,32.3,87.5,5.871647806,71.6,Wheat
54,196,47,29.5,60.6,5.730617109,88.7,Wheat
13,133,47,32.5,49.9,5.850439831,188.7,Wheat
97,113,110,16.4,49.9,5.791649933,69.8,Wheat
156,49,149,24.6,75.6,6.740000688,213.8,Wheat
31,87,153,21.5,86.5,6.272417541,224.2,Wheat
15,167,145,30.6,51.1,5.715208817,277.2,Wheat
5,35,181,39.7,71.3,5.773454729,61.1,Wheat
121,157,73,17.1,61,5.584171461,165.1,Wheat
54,151,169,31.8,73,5.787268394,51.9,Wheat
79,147,36,19.7,76.1,5.77597783,140,Wheat
152,187,86,32.7,66.6,6.864793607,122.9,Wheat
152,164,199,16.8,57.9,6.192360003,230.4,Wheat
81,170,63,36.1,68,6.636803223,261.7,Wheat
69,151,55,24.1,41.4,5.826426917,106.1,Wheat
146,13,75,36.5,86.5,6.960358276,201,Wheat
140,197,46,27.4,48.8,6.11275104,53.8,Wheat
53,100,179,15,59.1,6.708446922,123.9,Wheat
177,88,193,16.9,63.9,5.561510732,117.2,Wheat
120,74,123,27.4,48.9,5.873242491,289.2,Wheat
64,170,45,17.7,79,6.995843776,192,Wheat
167,88,34,37.6,40.5,5.714799723,240.9,Wheat
193,80,18,36.3,52.4,6.78073637,213.6,Wheat
189,120,106,35.7,63.6,5.513697923,241.2,Wheat
11,122,17,37.9,60.8,5.798423908,265.9,Wheat
116,191,156,21.5,59.5,6.352471866,96.4,Wheat
63,15,167,30.5,48.5,6.822586546,170.6,Wheat
146,87,73,19.8,46,6.655426355,82,Wheat
87,13,88,30.5,61.9,6.121294041,172.9,Wheat
65,2,152,33.6,54.5,5.790770203,260.4,Wheat
126,188,52,28.6,65,6.47444292,67.4,Wheat
200,58,142,25.7,87.1,6.455116637,181.8,Wheat
117,143,145,35.7,67.1,6.606984086,274.8,Wheat
49,24,159,17.8,73,6.330554389,81.9,Wheat
110,168,131,29.6,83.5,6.528631266,254.3,Wheat
73,170,168,32.7,75.2,5.721667141,213.6,Wheat
173,18,125,29.6,86,6.644205485,259.1,Wheat
185,178,9,33.6,58.1,6.376651091,160.4,Wheat
97,29,98,24.6,63.2,6.247040422,259.1,Wheat
109,144,161,18,40.4,6.656730008,78.3,Wheat
42,71,146,26.1,84.4,6.2048017,63.5,Wheat
41,27,26,37,66.9,6.158860284,152.6,Wheat
93,191,23,32.6,64.9,6.385684214,168.2,Wheat
105,127,187,21.8,83.5,6.417820493,112.4,Wheat
150,46,78,20.6,61,6.381201909,223.2,Wheat
51,133,150,27.3,85,6.877869005,280.1,Wheat
159,94,91,25.9,58,7.485996067,273.2,Wheat
46,141,99,23.8,70.7,6.920251378,246.4,Wheat
5,152,7,31.8,87.9,5.996932037,263.4,Wheat
74,105,37,21.5,74.2,6.391173589,137.6,Wheat
164,177,5,29.9,41.9,7.152811172,165.1,Wheat
179,169,29,30.8,59.4,5.988992796,111.8,Wheat
100,62,150,24,69.4,6.231049028,222,Wheat
60,182,63,21.7,78.5,7.550808267,257.3,Wheat
149,7,181,26.6,54.9,7.010570541,121.4,Wheat
61,101,83,37.2,46.6,8.753795334,155.2,Wheat
28,21,109,24.7,48.5,8.718192847,129.7,Wheat
136,140,192,33.1,44.5,7.976607593,91.1,Wheat
64,30,101,31.1,74.5,6.515499549,199.4,Wheat
58,172,24,39.7,52.1,8.490127142,267,Wheat
50,134,38,24,52.4,6.576415562,287.9,Wheat
193,147,147,30.7,59.3,6.481783043,279,Wheat
142,82,18,18.1,61.9,7.966605025,86.4,Wheat
174,36,107,29.8,82.6,8.140825437,293,Wheat
127,9,56,35.1,77.8,7.228963452,163.4,Wheat
176,145,123,15.2,56.2,6.492546046,236.4,Wheat
45,39,19,39.9,74.2,7.528599957,140.9,Wheat
41,49,136,15.2,84.8,7.701446446,136.2,Wheat
21,152,108,19.7,58.3,8.519975748,188.1,Wheat
36,47,140,18.9,58.6,6.620900869,176.9,Wheat
27,21,108,17.2,43.2,8.104396058,293.8,Wheat
53,2,28,36.3,42.6,6.204090835,224.5,Wheat
71,164,94,16.5,64.7,6.051091339,296.5,Wheat
30,65,61,23.4,69.3,7.690962338,103,Wheat
175,70,187,39.6,68.4,7.829211144,62.8,Wheat
137,143,55,37.4,76.2,6.761599706,155.2,Wheat
95,117,23,17.2,59.1,6.654425315,116.6,Wheat
173,44,66,22.5,73.9,6.129533877,77.4,Wheat
134,50,161,16.8,80.5,8.829273328,141,Wheat
66,81,138,34.8,76.6,8.621662982,114.8,Wheat
192,61,108,20.1,88.1,8.204862075,292,Wheat
31,34,57,21.4,78,6.18042747,55.2,Wheat
8,22,162,31.1,44,7.978996755,101.5,Wheat
131,175,183,37.7,85.3,7.863113671,228.9,Wheat
41,48,73,26.3,62.3,6.967843048,244.9,Wheat
131,186,144,18.7,59.4,6.206582193,234.9,Wheat
153,135,6,20.9,48.2,8.868741443,170.8,Wheat
91,47,82,27,79.8,8.766128654,242.6,Wheat
175,189,63,22.5,73.5,8.736337905,283.5,Wheat
17,78,83,34.4,87,8.081095263,190.7,Wheat
83,93,122,33.8,51.5,6.138243973,118.5,Wheat
134,190,158,37.4,65.6,7.496645259,129.5,Wheat
78,182,81,31.6,79.7,8.380185271,163.1,Wheat
143,126,10,21.6,53,6.289614016,69.1,Wheat
22,75,134,27.2,83.2,6.586777189,270.7,Wheat
112,54,181,25,61.1,6.89655198,163.9,Wheat
88,14,200,39.2,69.7,7.806747656,178,Wheat
112,45,50,22.8,41.5,7.150681303,228.3,Wheat
88,66,189,19,58.1,6.64919573,261.8,Wheat
39,148,181,27.2,64.9,7.778591618,53.2,Wheat
139,199,4,39.1,41.2,6.358740355,254.5,Wheat
106,81,1,32.1,43.3,8.255450758,246.9,Wheat
30,63,32,28.5,47.2,6.456148474,61.5,Wheat
134,27,16,24.6,50.9,6.613072145,272.5,Wheat
6,87,17,28.1,71.1,8.165359297,196.2,Wheat
185,75,39,19.6,84.6,7.64867466,263.8,Wheat
152,142,89,20,75.5,6.545888558,141.6,Wheat
54,60,198,18,43.6,7.104224797,88.5,Wheat
29,119,101,16.9,49.7,7.358099622,259,Wheat
36,122,39,33.8,89.3,6.4740245,155.4,Wheat
33,45,148,30.1,64.8,7.840339389,152.4,Wheat
46,106,166,25.2,57.5,7.064790365,288.4,Wheat
93,0,89,36.4,44.6,7.599033472,92.1,Wheat
57,185,95,37.4,84.6,6.715587232,58.1,Wheat
36,48,172,38.6,45.4,6.81712422,65.1,Wheat
168,40,32,37.6,77.3,7.985417393,165.6,Wheat
164,50,84,29.7,46.6,7.545258424,69.6,Wheat
6,51,184,32.4,55.5,7.728998197,210.1,Wheat
143,128,159,15.9,76.5,7.354973451,109.2,Wheat
92,102,64,23.1,66.9,7.313122235,246.2,Wheat
26,109,186,30,60.9,7.785039076,79.1,Wheat
63,200,9,30.4,67.1,6.307004923,68.4,Wheat
94,98,126,19.6,54.7,6.403982316,180.2,Wheat
150,64,159,17.9,57.7,7.599279991,168.6,Wheat
116,167,54,34.1,42,7.217018459,244.8,Wheat
141,67,70,39.9,69.2,7.561108006,173.2,Wheat
168,6,127,19.5,57.8,7.489545074,278.4,Wheat
42,181,41,21.7,70.7,6.609696734,270.1,Wheat
149,92,126,18.8,74.6,7.476800943,69,Wheat
9,93,43,29.8,47.3,7.325451279,63.7,Wheat
41,139,29,35.3,78.8,6.489389282,236.7,Wheat
104,197,83,23.9,80.2,7.786366322,136.2,Wheat
166,80,43,27.2,50.7,6.408437886,276.3,Wheat
185,127,144,39.4,52.7,8.423873703,153.4,Wheat
177,102,31,16.3,65.6,8.719960893,284.1,Wheat
153,76,198,34.2,60.4,7.811997977,132.4,Wheat
152,157,140,37.5,40.9,6.317153205,189.8,Wheat
184,107,154,34.9,71.1,7.114405288,248.4,Wheat
132,70,111,37.1,76.7,8.135900726,72.4,Wheat
94,68,103,34.1,61,7.714153038,233,Wheat
131,56,132,35.4,88,7.103798069,134.9,Wheat
186,173,49,24.3,77.9,8.861479668,135.6,Wheat
35,138,121,20.3,79.1,7.861128148,85.5,Wheat
129,2,26,22.3,86.3,7.4526709,88.8,Wheat
171,129,138,18.9,52.1,7.168096055,69.2,Wheat
120,26,162,38.3,52,7.26311855,299.4,Wheat
89,54,10,36.3,58.6,5.68597166,124.9,Rice
82,140,192,21.9,64.3,5.759237003,80.4,Rice
33,171,14,32.7,79,5.873171894,277,Rice
78,127,48,24.9,52.4,5.926676985,173.2,Rice
138,28,133,34.3,66,5.95561668,100.2,Rice
191,113,10,18.9,51.1,5.949949081,166.1,Rice
14,40,108,28.4,73.4,5.789214289,221.4,Rice
164,46,126,34.4,62.2,5.581021521,138,Rice
42,156,115,25.7,45.4,5.689858133,293.7,Rice
39,120,34,24.7,61,5.794158504,85.3,Rice
59,27,4,27.6,85.8,5.748190463,136.6,Rice
187,141,176,29.4,54.6,5.566522896,185,Rice
63,80,17,22,60.1,5.809419584,238,Rice
194,11,163,32,83.5,5.887263027,159.1,Rice
91,165,141,32.7,55.3,5.99812453,161.1,Rice
30,53,188,29.4,54.8,5.792744849,296,Rice
170,68,117,28.5,83.3,5.912289889,141,Rice
134,127,56,19.3,43.3,5.788386951,229.4,Rice
54,60,114,19.5,42.6,5.728233081,142.9,Rice
69,148,164,31.4,67,5.833940084,56.2,Rice
73,125,195,31.3,63.5,5.967533236,162.5,Rice
34,43,181,30.3,62.4,5.625096446,113.1,Rice
151,102,91,23.2,79.7,5.515615023,101,Rice
118,70,59,36.8,85.5,5.954665349,259.9,Rice
52,181,83,17.2,53.9,5.74644777,168,Rice
51,127,135,29.2,47.3,5.877347515,116.4,Rice
34,144,16,22.4,48.1,5.979973965,206.1,Rice
155,167,162,33.8,64.2,5.635993966,203.3,Rice
98,40,188,18.1,41.1,5.635231778,89.4,Rice
55,16,186,21.1,86,5.679224346,207.6,Rice
79,159,111,27.9,84.6,5.670062975,240.6,Rice
86,36,40,26.9,81,5.724242065,263.7,Rice
128,98,49,19.5,69,5.811314232,193.8,Rice
75,70,95,34.5,40.3,5.783425416,257,Rice
12,10,131,22.7,68.9,5.607808432,108.3,Rice
99,19,59,26.4,41.8,5.946999529,95.9,Rice
86,52,66,30.9,85.9,5.852046999,164.6,Rice
138,164,54,20.9,86.8,5.824090984,280.4,Rice
187,50,180,29.5,66.5,5.502999119,144,Rice
56,116,81,22.9,56,5.821649914,54.1,Rice
62,101,68,34.6,49.2,5.711439256,169.4,Rice
28,94,67,38.2,67.1,5.514927264,184,Rice
37,110,190,18.5,76.9,5.99616119,99.4,Rice
23,113,135,30.7,69.9,5.695422863,194.5,Rice
66,22,79,33.1,41.1,5.833010958,142.1,Rice
3,51,165,33.2,83.1,5.568456899,132.7,Rice
155,122,152,22.4,89.2,5.645435626,76.2,Rice
180,30,148,38.8,64,5.821194486,92.9,Rice
128,145,159,19.8,56.8,5.659254981,191.8,Rice
113,178,104,17.2,60.7,5.945465949,113.5,Rice
108,147,38,24.5,71.7,5.951177452,133.1,Rice
125,177,87,30.1,83.2,5.520880014,217.2,Rice
102,4,154,23.6,87.4,5.578410206,67.5,Rice
136,13,149,27.7,72.4,5.608165195,184.3,Rice
181,42,189,37.8,89.9,5.609435128,111.9,Rice
122,65,199,27.5,43.4,5.509295379,104.1,Rice
175,47,162,27.7,61.6,5.902033406,290.7,Rice
196,74,181,39.4,57.2,5.744117663,150.8,Rice
39,8,44,36.9,77.7,5.717143397,243.3,Rice
18,90,76,40,85.1,5.542690119,194.6,Rice
82,15,145,23.2,86.6,5.858617867,220.8,Rice
88,83,124,25.6,82.9,5.618844277,79.7,Rice
90,128,154,29.8,42.8,5.606620346,128.7,Rice
18,3,136,24.1,53.6,5.582178402,136.3,Rice
94,115,94,35.4,84.1,5.56503533,172.4,Rice
24,184,50,24.2,43.8,5.889614577,232.9,Rice
122,5,104,37.7,48.3,5.934136378,132.9,Rice
113,50,70,35.4,71.8,5.683548308,53.1,Rice
146,168,20,33.2,47.2,5.70836603,138.3,Rice
77,73,38,21.3,72.4,5.948164454,266.3,Rice
196,60,171,39,56.4,5.774755144,175.4,Rice
146,35,124,27.1,41.7,5.97229163,97.5,Rice
184,180,8,37.7,83.5,5.532100554,282.9,Rice
50,171,179,23.3,74.7,5.669560726,189.9,Rice
161,115,101,34.5,55.9,5.655726817,71.8,Rice
7,155,196,21.4,65.1,5.591704014,53.6,Rice
176,149,190,37.9,63.5,5.932323085,82.9,Rice
8,69,64,19.5,56.1,5.824208309,245.4,Rice
31,154,15,18.2,59.1,5.86442953,278.2,Rice
109,109,131,18.7,46,5.866744372,208.6,Rice
84,136,179,38.3,84,5.706198621,209.7,Rice
112,144,8,29,44.4,5.940546818,173,Rice
52,200,58,31.7,73.4,5.916779289,72.3,Rice
125,108,176,38.8,78.5,5.779090476,108.1,Rice
44,141,69,31.1,71.8,5.82738029,141.5,Rice
139,181,112,38.9,89.3,5.514234138,161,Rice
196,56,64,29.7,60.1,5.662699104,288.9,Rice
29,131,157,39.4,49.8,5.86390397,185.8,Rice
77,111,171,33.1,53,5.624690248,86.9,Rice
41,192,89,35.7,62.6,5.591560999,203.7,Rice
132,183,150,21,48.1,5.976312538,211.9,Rice
139,42,152,28.3,74.2,5.669236258,235.4,Rice
52,151,75,35.7,41.7,5.961934481,86.8,Rice
176,75,179,36.9,88.5,5.690065688,265.8,Rice
20,179,14,18.2,75.7,5.698371311,145,Rice
172,109,112,34.1,72.6,5.59503163,91.4,Rice
81,171,187,20.2,62.2,5.525904526,145.2,Rice
14,0,100,30.1,62.7,5.819403771,110.4,Rice
174,34,37,33.3,59,5.562201934,286.2,Rice
98,112,103,35.3,81.9,5.630664753,192.5,Rice
74,26,153,30.1,42,6.03160778,59.5,Rice
46,191,63,17.9,48.1,5.269084669,212.5,Rice
82,140,65,20.8,68.2,5.985792703,153,Rice
81,182,10,17.6,57.3,6.09186275,226.3,Rice
127,119,189,15.3,46.6,5.624731338,162.3,Rice
82,144,103,29,61,6.446091759,212,Rice
37,98,96,29.4,75.7,5.623490043,133.1,Rice
17,140,51,23.2,70.1,5.864623352,144.4,Rice
25,53,11,22.8,55.1,5.761702519,128,Rice
41,7,136,18.5,88.9,4.696518678,99.4,Rice
40,85,119,32.7,70.2,5.269504214,129.8,Rice
76,64,49,29.5,42.4,7.445444883,193.1,Rice
162,12,22,35.4,67.4,5.833031708,185.8,Rice
53,124,174,37.2,82.3,7.339320929,206.9,Rice
160,105,119,22.2,83.4,6.347929353,89.7,Rice
194,96,193,35.1,52,4.697750704,248.8,Rice
93,83,145,36.3,87.9,4.962661422,152.4,Rice
98,106,168,34.6,75.4,4.964887857,271.7,Rice
109,170,31,38.5,62.2,5.642813116,268.2,Rice
175,189,150,31.7,59,5.6093956,97.8,Rice
109,166,44,34.7,48.1,4.681576043,70.5,Rice
163,72,93,27.3,66.6,5.70951224,203.5,Rice
191,168,60,35.8,65.9,6.413543781,99.6,Rice
144,145,86,29.8,66,6.007508163,160.1,Rice
165,200,2,37.2,62.4,4.946369874,179.1,Rice
64,124,44,32.7,71,5.517208078,278.6,Rice
162,171,54,38.1,89.1,5.902103172,136.9,Rice
84,1,9,26.4,48.4,5.719889876,288.7,Rice
188,93,58,28.7,77.8,4.548202098,53.7,Rice
19,66,171,38.4,55.8,6.669529416,78,Rice
44,116,163,28.5,52.7,4.750929218,152.5,Rice
57,24,170,36.9,73.1,4.946263888,119.9,Rice
180,122,90,30.2,77.6,5.266227032,58.5,Rice
131,92,162,34.7,48.2,7.10959773,252.4,Rice
77,171,176,38.6,84.9,5.617008201,219.9,Rice
127,128,131,27.6,52.8,5.632353113,216.6,Rice
127,53,118,20.4,71.9,4.674941549,228.5,Rice
18,86,125,17.7,71.9,7.161797643,119.1,Rice
124,85,104,15.7,56.9,6.624966131,270.4,Rice
30,12,13,31.5,40.6,5.004074624,127.4,Rice
185,75,73,25.1,78.5,6.345806011,257.8,Rice
170,83,151,23.2,85.1,6.216814453,285.2,Rice
117,57,73,22.7,85.8,5.921666758,224.2,Rice
150,34,85,32.9,74.8,6.012719118,282.3,Rice
157,152,159,33.8,86,4.684079249,84.8,Rice
180,132,191,22.1,75,7.077170002,209.8,Rice
42,39,27,28.7,58,6.208843215,67,Rice
97,197,175,23.7,44.2,7.05181629,105.3,Rice
95,175,8,30.2,57.7,4.722222454,275.8,Rice
28,171,53,21.7,47.3,6.418062652,175.8,Rice
69,189,61,38.9,78.5,4.803564468,191.4,Rice
199,121,188,16.4,63.8,4.608695247,286.1,Rice
85,61,47,39.6,68.5,5.611510977,254.3,Rice
79,92,105,24.2,84.4,7.322097972,240.9,Rice
139,197,106,16.4,67.3,5.023115055,98.7,Rice
124,58,135,33.8,61.4,5.617122801,265.1,Rice
5,179,130,25.1,73.2,5.391560418,91.5,Rice
195,20,11,30.5,45.2,5.906596905,148.2,Rice
68,90,109,18.2,70.6,6.574209678,138.7,Rice
86,5,172,37.3,81.2,4.807776749,226.1,Rice
154,176,83,23.8,40.6,4.760038039,264.5,Rice
13,6,35,19.7,52.5,5.180271502,105.6,Rice
49,36,121,17.6,82.9,4.895927306,123.1,Rice
193,185,54,22.2,63.8,6.436160044,107.5,Rice
64,140,20,22.4,70.3,7.066087261,229.6,Rice
6,121,26,28.4,74.5,6.655918078,253.8,Rice
9,51,97,34.7,46.6,5.982854523,153,Rice
88,194,82,23.1,87.5,5.457871273,285,Rice
179,184,48,27.6,74.5,4.759490199,180.6,Rice
18,161,64,26.8,84.3,7.342409555,219.7,Rice
141,26,195,26.3,74.8,4.820788186,83,Rice
38,93,44,28.2,80.1,6.242052013,296,Rice
55,25,121,35.4,62.9,5.001038726,263.1,Rice
79,45,10,30.9,74.5,5.560224583,197.9,Rice
167,135,137,39.3,64.2,4.747352458,178,Rice
98,58,176,20.1,74.9,7.313517308,229.3,Rice
0,73,9,16.7,52.9,5.661826398,66.5,Rice
81,186,24,34.6,45.7,4.672437054,256.4,Rice
0,46,187,28.2,50.8,6.471862118,229.8,Rice
151,76,190,32.2,89.6,5.384762927,299.4,Rice
54,13,145,33.5,64.1,5.859813416,225.6,Rice
27,9,93,29.9,71.7,6.962386495,97.8,Rice
31,127,49,17.7,55.4,6.12166671,242.6,Rice
109,33,190,21.5,53.2,6.421748487,204.1,Rice
74,143,199,30,53.6,4.828936119,143.3,Rice
155,142,48,36.9,73,6.98571967,221.1,Rice
103,143,149,35.3,77.8,4.603563116,101.6,Rice
76,172,29,39.8,56.7,6.979540061,144.3,Rice
27,77,162,38.7,82.2,7.064973419,241.4,Rice
151,152,164,28.5,67.9,5.16516459,50.3,Rice
89,149,162,20.5,68.1,5.111488821,293.8,Rice
145,200,46,33.5,67.6,5.374358869,291.4,Rice
89,144,119,38.5,41.7,5.671419084,190.8,Rice
107,25,7,39.5,61.5,5.667419697,122.6,Rice
161,197,82,18.7,41.1,6.07938452,164.3,Rice
31,167,175,37.7,54.9,6.931924963,283.2,Rice
66,103,50,21.1,61.1,6.842744374,293.5,Rice
165,34,198,38,48.8,6.876572503,162.8,Rice
49,137,54,15.2,71,6.151029296,237.7,Rice
